,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
141,"MV LOMONOSOV STATE UNIV,MOSCOW 117234,USSR","MV LOMONOSOV STATE UNIV,MOSCOW 117234,USSR",11681,"{'primary organization': [{'text': 'mv lomonosov state univ', 'start': 0, 'end': 23, 'probability': 0.9307326953410033}], 'secondary organization': [{'text': 'mv lomonosov state univ', 'start': 0, 'end': 23, 'probability': 0.9766931145160456}], 'tertiary organization': [{'text': 'mv lomonosov state univ', 'start': 0, 'end': 23, 'probability': 0.9639027389130206}], 'city': [{'text': 'moscow', 'start': 24, 'end': 30, 'probability': 0.9999400381503172}], 'postal code': [{'text': '117234', 'start': 31, 'end': 37, 'probability': 0.9814142391670266}], 'country': [{'text': 'ussr', 'start': 38, 'end': 42, 'probability': 0.9996322686092185}]}",mv lomonosov state univ
142,"Univ Texas MD Anderson Canc Ctr, Dept Leukemia, Houston, TX 77030 USA","Univ Texas MD Anderson Canc Ctr, Dept Leukemia, Houston, TX 77030 USA",11667,"{'primary organization': [{'text': 'dept leukemia', 'start': 33, 'end': 46, 'probability': 0.4721677416399075}], 'city': [{'text': 'houston', 'start': 48, 'end': 55, 'probability': 0.9999780059732402}], 'postal code': [{'text': '77030', 'start': 60, 'end': 65, 'probability': 0.9931896592470082}], 'country': [{'text': 'usa', 'start': 66, 'end': 69, 'probability': 0.9995005725452444}]}",dept leukemia
143,http://www.bsl.nl,http://www.bsl.nl,11596,{},NaN
144,"Zhejiang University of Technology(Zhejiang University of Technology),Hangzhou,China","Zhejiang University of Technology(Zhejiang University of Technology),Hangzhou,China",11539,"{'primary organization': [{'text': 'zhejiang university of technology', 'start': 0, 'end': 33, 'probability': 0.9920556797930828}, {'text': 'zhejiang university of technology', 'start': 34, 'end': 67, 'probability': 0.8241294313990863}], 'secondary organization': [{'text': 'zhejiang university of technology', 'start': 0, 'end': 33, 'probability': 0.9807524493969808}, {'text': 'zhejiang university of technology', 'start': 34, 'end': 67, 'probability': 0.8390384354471365}], 'tertiary organization': [{'text': 'zhejiang university of technology', 'start': 0, 'end': 33, 'probability': 0.9948974935470325}, {'text': 'zhejiang university of technology', 'start': 34, 'end': 67, 'probability': 0.9353450560132792}], 'city': [{'text': 'hangzhou', 'start': 69, 'end': 77, 'probability': 0.9719538731544617}], 'country': [{'text': 'china', 'start': 78, 'end': 83, 'probability': 0.9999812246111475}]}",zhejiang university of technology
145,"Beijing Normal University(Beijing Normal University),Beijing,China","Beijing Normal University(Beijing Normal University),Beijing,China",11533,"{'primary organization': [{'text': 'beijing normal university', 'start': 0, 'end': 25, 'probability': 0.9910800493219085}, {'text': 'beijing normal university', 'start': 26, 'end': 51, 'probability': 0.9587408861142066}], 'secondary organization': [{'text': 'beijing normal university', 'start': 0, 'end': 25, 'probability': 0.9558998162819421}, {'text': 'beijing normal university', 'start': 26, 'end': 51, 'probability': 0.9401078748263387}], 'tertiary organization': [{'text': 'beijing normal university', 'start': 0, 'end': 25, 'probability': 0.9880791601527292}, {'text': 'beijing normal university', 'start': 26, 'end': 51, 'probability': 0.9806893912278696}], 'city': [{'text': 'beijing', 'start': 26, 'end': 33, 'probability': 0.9933649262971151}, {'text': 'beijing', 'start': 0, 'end': 7, 'probability': 0.9752032934092512}, {'text': 'beijing', 'start': 53, 'end': 60, 'probability': 0.9994867501151958}], 'country': [{'text': 'china', 'start': 61, 'end': 66, 'probability': 0.9999733568321147}]}",beijing normal university
146,"Mt Sinai Sch Med, New York, NY USA","Mt Sinai Sch Med, New York, NY USA",11470,"{'primary organization': [{'text': 'mt sinai sch med', 'start': 0, 'end': 16, 'probability': 0.993206617594435}], 'secondary organization': [{'text': 'mt sinai sch med', 'start': 0, 'end': 16, 'probability': 0.8132565064425457}], 'tertiary organization': [{'text': 'mt sinai sch med', 'start': 0, 'end': 16, 'probability': 0.9710923637549804}], 'city': [{'text': 'new york', 'start': 18, 'end': 26, 'probability': 0.9939072392919144}], 'country': [{'text': 'usa', 'start': 31, 'end': 34, 'probability': 0.9998904481017235}]}",mt sinai sch med
147,"European Organization for Nuclear Research (CERN),Geneva,Switzerland","European Organization for Nuclear Research (CERN),Geneva,Switzerland",11464,"{'primary organization': [{'text': 'european organization for nuclear research', 'start': 0, 'end': 42, 'probability': 0.9863132036300293}, {'text': 'cern', 'start': 44, 'end': 48, 'probability': 0.9940971832016494}], 'secondary organization': [{'text': 'cern', 'start': 44, 'end': 48, 'probability': 0.9796202062704396}], 'tertiary organization': [{'text': 'european organization for nuclear research', 'start': 0, 'end': 42, 'probability': 0.9449771695166582}, {'text': 'cern', 'start': 44, 'end': 48, 'probability': 0.9938123134218699}], 'city': [{'text': 'geneva', 'start': 50, 'end': 56, 'probability': 0.9999843836440334}], 'country': [{'text': 'switzerland', 'start': 57, 'end': 68, 'probability': 0.9999523761842255}]}",cern
148,"Xi'an University of Technology(Xi'an University of Technology,Xi'an Univ. of Technol.),Xi An,China","Xi'an University of Technology(Xi'an University of Technology,Xi'an Univ. of Technol.),Xi An,China",11439,"{'primary organization': [{'text': ""xi'an univ. of technol."", 'start': 62, 'end': 85, 'probability': 0.5007333492762918}, {'text': ""xi'an university of technology"", 'start': 31, 'end': 61, 'probability': 0.8508265359287464}, {'text': ""xi'an university of technology"", 'start': 0, 'end': 30, 'probability': 0.9789104402019433}], 'secondary organization': [{'text': ""xi'an univ. of technol."", 'start': 62, 'end': 85, 'probability': 0.45415350240480024}, {'text': ""xi'an university of technology"", 'start': 31, 'end': 61, 'probability': 0.8637348821626105}, {'text': ""xi'an university of technology"", 'start': 0, 'end': 30, 'probability': 0.9725370806339697}], 'tertiary organization': [{'text': ""xi'an univ. of technol."", 'start': 62, 'end': 85, 'probability': 0.6595602573372616}, {'text': ""xi'an university of technology"", 'start': 31, 'end': 61, 'probability': 0.9076073064755974}, {'text': ""xi'an university of technology"", 'start': 0, 'end': 30, 'probability': 0.985576155325667}], 'city': [{'text': 'xi an', 'start': 87, 'end': 92, 'probability': 0.9879882115724286}], 'country': [{'text': 'china', 'start': 93, 'end': 98, 'probability': 0.9999572636777501}]}",xi'an university of technology
149,"Shanghai Institute of Optics and Fine Mechanics Chinese Academy of Sciences(Chinese Academy of Sciences,Chinese Acad of Sciences),Shanghai,China","Shanghai Institute of Optics and Fine Mechanics Chinese Academy of Sciences(Chinese Academy of Sciences,Chinese Acad of Sciences),Shanghai,China",11304,"{'primary organization': [{'text': 'chinese academy of sciences', 'start': 48, 'end': 75, 'probability': 0.8536187585538144}, {'text': 'shanghai institute of optics and fine mechanics', 'start': 0, 'end': 47, 'probability': 0.9602289411228995}], 'secondary organization': [{'text': 'chinese academy of sciences', 'start': 48, 'end': 75, 'probability': 0.7639200924455025}, {'text': 'shanghai institute of optics and fine mechanics', 'start': 0, 'end': 47, 'probability': 0.9348418263172107}], 'tertiary organization': [{'text': 'chinese academy of sciences', 'start': 48, 'end': 75, 'probability': 0.8231856335926757}, {'text': 'shanghai institute of optics and fine mechanics', 'start': 0, 'end': 47, 'probability': 0.9488805514750993}], 'city': [{'text': 'shanghai', 'start': 0, 'end': 8, 'probability': 0.7236364023077897}, {'text': 'shanghai', 'start': 130, 'end': 138, 'probability': 0.9997789368475978}], 'country': [{'text': 'china', 'start': 139, 'end': 144, 'probability': 0.9999768138642651}]}",shanghai institute of optics and fine mechanics
150,"Univ Calif Riverside, Riverside, CA 92521 USA","Univ Calif Riverside, Riverside, CA 92521 USA",11300,"{'tertiary organization': [{'text': 'univ', 'start': 0, 'end': 4, 'probability': 0.4762752910465764}], 'city': [{'text': 'riverside', 'start': 11, 'end': 20, 'probability': 0.9896681408709682}, {'text': 'riverside', 'start': 22, 'end': 31, 'probability': 0.997711142986816}], 'postal code': [{'text': '92521', 'start': 36, 'end': 41, 'probability': 0.9942023953688484}], 'country': [{'text': 'usa', 'start': 42, 'end': 45, 'probability': 0.9998090338903722}]}",NaN
151,queen s university,queen s universityersity,11284,"{'primary organization': [{'text': 'queen s university', 'start': 0, 'end': 18, 'probability': 0.9994733265463864}], 'secondary organization': [{'text': 'queen s university', 'start': 0, 'end': 18, 'probability': 0.9954535465215315}], 'tertiary organization': [{'text': 'queen s university', 'start': 0, 'end': 18, 'probability': 0.9992661453203233}]}",queen s university
152,"China Medical University Shenyang(China Medical University),Shenyang,China","China Medical University Shenyang(China Medical University),Shenyang,China",11219,"{'primary organization': [{'text': 'china medical university', 'start': 0, 'end': 24, 'probability': 0.996273359208395}, {'text': 'china medical university', 'start': 34, 'end': 58, 'probability': 0.9262723356005296}], 'secondary organization': [{'text': 'china medical university', 'start': 0, 'end': 24, 'probability': 0.947808540476295}, {'text': 'china medical university', 'start': 34, 'end': 58, 'probability': 0.8813556932579303}], 'tertiary organization': [{'text': 'china medical university', 'start': 0, 'end': 24, 'probability': 0.9838407448152537}, {'text': 'china medical university', 'start': 34, 'end': 58, 'probability': 0.9866931712797467}], 'city': [{'text': 'shenyang', 'start': 60, 'end': 68, 'probability': 0.984050727498726}, {'text': 'shenyang', 'start': 25, 'end': 33, 'probability': 0.6177266744394956}], 'country': [{'text': 'china', 'start': 0, 'end': 5, 'probability': 0.9993233584646255}, {'text': 'china', 'start': 69, 'end': 74, 'probability': 0.9998653556281525}, {'text': 'china', 'start': 34, 'end': 39, 'probability': 0.9997129621361722}]}",china medical university
153,"European Organization for Nuclear Research (CERN), Geneva, Switzerland.","European Organization for Nuclear Research (CERN), Geneva, Switzerland.",11186,"{'primary organization': [{'text': 'european organization for nuclear research', 'start': 0, 'end': 42, 'probability': 0.9731927710083355}, {'text': 'cern', 'start': 44, 'end': 48, 'probability': 0.9961808175448184}], 'secondary organization': [{'text': 'cern', 'start': 44, 'end': 48, 'probability': 0.9904166219804722}], 'tertiary organization': [{'text': 'european organization for nuclear research', 'start': 0, 'end': 42, 'probability': 0.7979422528847664}, {'text': 'cern', 'start': 44, 'end': 48, 'probability': 0.9962197065755873}], 'city': [{'text': 'geneva', 'start': 51, 'end': 57, 'probability': 0.9999881387103073}], 'country': [{'text': 'switzerland', 'start': 59, 'end': 70, 'probability': 0.9999544624161132}]}",cern
154,To whom all correspondence should be addressed.,To whom all correspondence should be addressed.,11097,{},NaN
155,"Institute of Semiconductors Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China","Institute of Semiconductors Chinese Academy of Sciences(Chinese Academy of Sciences),Beijing,China",11086,"{'primary organization': [{'text': 'institute of semiconductors', 'start': 0, 'end': 27, 'probability': 0.9707851523554467}, {'text': 'chinese academy of sciences', 'start': 28, 'end': 55, 'probability': 0.7243555329073814}], 'secondary organization': [{'text': 'institute of semiconductors', 'start': 0, 'end': 27, 'probability': 0.7647555846192517}, {'text': 'chinese academy of sciences', 'start': 28, 'end': 55, 'probability': 0.6316557847731019}], 'tertiary organization': [{'text': 'institute of semiconductors', 'start': 0, 'end': 27, 'probability': 0.9340151100506304}, {'text': 'chinese academy of sciences', 'start': 56, 'end': 83, 'probability': 0.6150573531120926}, {'text': 'chinese academy of sciences', 'start': 28, 'end': 55, 'probability': 0.8593890856294593}], 'city': [{'text': 'beijing', 'start': 85, 'end': 92, 'probability': 0.9999786616118342}], 'country': [{'text': 'china', 'start': 93, 'end': 98, 'probability': 0.9999791384476033}]}",institute of semiconductors
156,"Sandia Natl Labs, Albuquerque, NM 87185 USA","Sandia Natl Labs, Albuquerque, NM 87185 USA",11059,"{'primary organization': [{'text': 'sandia natl labs', 'start': 0, 'end': 16, 'probability': 0.9926790001897565}], 'secondary organization': [{'text': 'sandia natl labs', 'start': 0, 'end': 16, 'probability': 0.8807489492964997}], 'tertiary organization': [{'text': 'sandia natl labs', 'start': 0, 'end': 16, 'probability': 0.9054910710809381}], 'city': [{'text': 'albuquerque', 'start': 18, 'end': 29, 'probability': 0.9999836683938845}], 'postal code': [{'text': '87185', 'start': 34, 'end': 39, 'probability': 0.8860382683846169}], 'country': [{'text': 'usa', 'start': 40, 'end': 43, 'probability': 0.9999139319931629}]}",sandia natl labs
157,technion israel institute of technology,technion israel institute of technology,11032,"{'primary organization': [{'text': 'technion israel institute of technology', 'start': 0, 'end': 39, 'probability': 0.9606353659523847}], 'secondary organization': [{'text': 'technion israel institute of technology', 'start': 0, 'end': 39, 'probability': 0.9534201301705494}], 'tertiary organization': [{'text': 'technion israel institute of technology', 'start': 0, 'end': 39, 'probability': 0.9913168700489621}], 'country': [{'text': 'israel', 'start': 9, 'end': 15, 'probability': 0.9990657256005875}]}",technion israel institute of technology
158,"Chinese Acad Sci, Inst Modern Phys, Lanzhou 730000, Peoples R China","Chinese Acad Sci, Inst Modern Phys, Lanzhou 730000, Peoples R China",10973,"{'primary organization': [{'text': 'acad sci', 'start': 8, 'end': 16, 'probability': 0.4555714660158827}], 'secondary organization': [{'text': 'chinese acad sci', 'start': 0, 'end': 16, 'probability': 0.44610529552466005}], 'city': [{'text': 'lanzhou', 'start': 36, 'end': 43, 'probability': 0.9909701342251083}], 'country': [{'text': 'china', 'start': 62, 'end': 67, 'probability': 0.999988853959394}]}",acad sci
159,"Cleveland Clin Fdn, Cleveland, OH 44195 USA","Cleveland Clin Fdn, Cleveland, OH 44195 USA",10827,"{'primary organization': [{'text': 'cleveland clin', 'start': 0, 'end': 14, 'probability': 0.5511824576743152}], 'secondary organization': [{'text': 'cleveland clin', 'start': 0, 'end': 14, 'probability': 0.6521994632124333}], 'city': [{'text': 'cleveland', 'start': 20, 'end': 29, 'probability': 0.9984110925833392}], 'postal code': [{'text': '44195', 'start': 34, 'end': 39, 'probability': 0.9991083333935791}], 'country': [{'text': 'usa', 'start': 40, 'end': 43, 'probability': 0.9999032632768774}]}",cleveland clin
