,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
425,"chinese academy sciences, lanzhou institute chemical physics, state key laboratory solid lubricat, lanzhou 730000, peoples r china","chinese acad sci, lanzhou inst chem phys, state key lab solid lubricat, lanzhou 730000, peoples r china","chinese academy sciences, lanzhou institute chemical physics, state key laboratory solid lubricat, lanzhou 730000, peoples r china",5371,chinese academy sciences
426,microsoft research,microsoft research,microsoft research,5369,microsoft research
427,"max planck institute kernphys, d-69117 heidelberg, germany","max planck inst kernphys, d-69117 heidelberg, germany","max planck institute kernphys, d-69117 heidelberg, germany",5369,max planck institute
428,"university texas md anderson canc center, department radiat oncol, houston, tx 77030 usa","univ texas md anderson canc ctr, dept radiat oncol, houston, tx 77030 usa","university texas md anderson canc center, department radiat oncol, houston, tx 77030 usa",5363,university texas
429,"henan university of science and technology(henan university of science and technology),luoyang,china","henan university of science and technology(henan university of science and technology),luoyang,china","henan university of science and technology(henan university of science and technology),luoyang,china",5362,henan university of science and technology
430,czechoslovak academy of sciences,czechoslovak academy of sciences,czechoslovak academy of sciences,5355,czechoslovak academy of sciences
431,"harbin institute technology, sch materials sciences and engineering, harbin 150001, peoples r china","harbin inst technol, sch mat sci & engn, harbin 150001, peoples r china","harbin institute technology, sch materials sciences and engineering, harbin 150001, peoples r china",5352,harbin institute technology
432,birmingham city university faculty of health,birmingham city university faculty of health,birmingham city university faculty of health,5351,birmingham city university
433,pontificia universidade catolica de minas gerais,pontificia universidade catolica de minas gerais,pontificia universidade catolica de minas gerais,5345,pontificia universidade catolica de minas gerais
434,"university chinese academy sciences, beijing 100049, peoples r china","univ chinese acad sci, beijing 100049, peoples r china","university chinese academy sciences, beijing 100049, peoples r china",5343,university chinese academy sciences
435,"harvard smithsonian center astrophys, 60 garden st, cambridge, ma 02138 usa","harvard smithsonian ctr astrophys, 60 garden st, cambridge, ma 02138 usa","harvard smithsonian center astrophys, 60 garden st, cambridge, ma 02138 usa",5340,harvard smithsonian center
436,russian academy,russian academy,russian academy,5340,russian academy
437,"northwest a&f university(northwest a and f university,northwest agriculture and forestry university),yangling,china","northwest a&f university(northwest a and f university,northwest agriculture and forestry university),yangling,china","northwest a&f university(northwest a and f university,northwest agriculture and forestry university),yangling,china",5338,northwest a&f university
438,fundacao getulio vargas,fundacao getulio vargas,fundacao getulio vargas,5334,fundacao getulio vargas
439,"university so calif, los angeles, ca 90089 usa","univ so calif, los angeles, ca 90089 usa","university so calif, los angeles, ca 90089 usa",5333,NaN
440,"changchun university of science and technology(changchun university of science and technology,changchun univ. of sci. and technol.),changchun,china","changchun university of science and technology(changchun university of science and technology,changchun univ. of sci. and technol.),changchun,china","changchun university of science and technology(changchun university of science and technology,changchun univ. of sci. and technol.),changchun,china",5332,changchun university of science and technology
441,"johns hopkins medicine institute, baltimore, md 21205 usa","johns hopkins med inst, baltimore, md 21205 usa","johns hopkins medicine institute, baltimore, md 21205 usa",5328,johns hopkins medicine institute
442,"anhui university(anhui university),hefei,china","anhui university(anhui university),hefei,china","anhui university(anhui university),hefei,china",5328,anhui university
443,"hubei university(hubei university,hubei university of technology),wuhan,china","hubei university(hubei university,hubei university of technology),wuhan,china","hubei university(hubei university,hubei university of technology),wuhan,china",5328,hubei university
444,"national university singapore, singapore, singapore","natl univ singapore, singapore, singapore","national university singapore, singapore, singapore",5305,national university
445,"georgia institute technology, sch chemical and biomol engineering, atlanta, ga 30332 usa","georgia inst technol, sch chem & biomol engn, atlanta, ga 30332 usa","georgia institute technology, sch chemical and biomol engineering, atlanta, ga 30332 usa",5301,georgia institute technology
446,"chinese academy of forestry(caf,chinese academy of forestry),beijing,china","chinese academy of forestry(caf,chinese academy of forestry),beijing,china","chinese academy of forestry(caf,chinese academy of forestry),beijing,china",5295,chinese academy of forestry
447,universite de sherbrooke,universite de sherbrooke,universite de sherbrooke,5292,universite de sherbrooke
448,science college,science college,science college,5292,science college
449,"university london imperial college sciences technology and medicine, london sw7 2az, england","univ london imperial coll sci technol & med, london sw7 2az, england","university london imperial college sciences technology and medicine, london sw7 2az, england",5286,imperial college sciences technology and medicine
450,"mv lomonosov state univ,moscow,ussr","mv lomonosov state univ,moscow,ussr","mv lomonosov state univ,moscow,ussr",5283,mv lomonosov state univ
451,"deutsches elektronen-synchrotron, hamburg, germany","deutsches elektronen-synchrotron, hamburg, germany","deutsches elektronen-synchrotron, hamburg, germany",5282,deutsches elektronen-synchrotron
452,"university calif san francisco, department neurol, san francisco, ca usa","univ calif san francisco, dept neurol, san francisco, ca usa","university calif san francisco, department neurol, san francisco, ca usa",5271,university calif
453,institute for materials research,institute for materials research,institute for materials research,5261,institute for materials research
454,"academy of military medical science china(academy of military medical sciences,academy of military medical science),beijing,china","academy of military medical science china(academy of military medical sciences,academy of military medical science),beijing,china","academy of military medical science china(academy of military medical sciences,academy of military medical science),beijing,china",5258,academy of military medical science
