Origin Organizations,Cleaned,Filled
"northwest a&f university(northwest a and f university,northwest agriculture and forestry university),yangling,china","northwest a&f university(northwest a and f university,northwest agriculture and forestry university),yangling,china","northwest a&f university(northwest a and f university,northwest agriculture and forestry university),yangling,china"
fundacao getulio vargas,fundacao getulio vargas,fundacao getulio vargas
"university so calif, los angeles, ca 90089 usa","univ so calif, los angeles, ca 90089 usa","university so calif, los angeles, ca 90089 usa"
"changchun university of science and technology(changchun university of science and technology,changchun univ. of sci. and technol.),changchun,china","changchun university of science and technology(changchun university of science and technology,changchun univ. of sci. and technol.),changchun,china","changchun university of science and technology(changchun university of science and technology,changchun univ. of sci. and technol.),changchun,china"
"johns hopkins medicine institute, baltimore, md 21205 usa","johns hopkins med inst, baltimore, md 21205 usa","johns hopkins medicine institute, baltimore, md 21205 usa"
"anhui university(anhui university),hefei,china","anhui university(anhui university),hefei,china","anhui university(anhui university),hefei,china"
"hubei university(hubei university,hubei university of technology),wuhan,china","hubei university(hubei university,hubei university of technology),wuhan,china","hubei university(hubei university,hubei university of technology),wuhan,china"
"national university singapore, singapore, singapore","natl univ singapore, singapore, singapore","national university singapore, singapore, singapore"
"georgia institute technology, sch chemical and biomol engineering, atlanta, ga 30332 usa","georgia inst technol, sch chem & biomol engn, atlanta, ga 30332 usa","georgia institute technology, sch chemical and biomol engineering, atlanta, ga 30332 usa"
"chinese academy of forestry(caf,chinese academy of forestry),beijing,china","chinese academy of forestry(caf,chinese academy of forestry),beijing,china","chinese academy of forestry(caf,chinese academy of forestry),beijing,china"
universite de sherbrooke,universite de sherbrooke,universite de sherbrooke
science college,science college,science college
"university london imperial college sciences technology and medicine, london sw7 2az, england","univ london imperial coll sci technol & med, london sw7 2az, england","university london imperial college sciences technology and medicine, london sw7 2az, england"
"mv lomonosov state univ,moscow,ussr","mv lomonosov state univ,moscow,ussr","mv lomonosov state univ,moscow,ussr"
"deutsches elektronen-synchrotron, hamburg, germany","deutsches elektronen-synchrotron, hamburg, germany","deutsches elektronen-synchrotron, hamburg, germany"
"university calif san francisco, department neurol, san francisco, ca usa","univ calif san francisco, dept neurol, san francisco, ca usa","university calif san francisco, department neurol, san francisco, ca usa"
institute for materials research,institute for materials research,institute for materials research
"academy of military medical science china(academy of military medical sciences,academy of military medical science),beijing,china","academy of military medical science china(academy of military medical sciences,academy of military medical science),beijing,china","academy of military medical science china(academy of military medical sciences,academy of military medical science),beijing,china"
panjab university chandigarh,panjab university chandigarh,panjab university chandigarh
"china university petroleum, state key laboratory heavy oil proc, beijing 102249, peoples r china","china univ petr, state key lab heavy oil proc, beijing 102249, peoples r china","china university petroleum, state key laboratory heavy oil proc, beijing 102249, peoples r china"
national technical university,national technical university,national technical university
"oak ridge national laboratory, center nanophase materials sciences, oak ridge, tn 37831 usa","oak ridge natl lab, ctr nanophase mat sci, oak ridge, tn 37831 usa","oak ridge national laboratory, center nanophase materials sciences, oak ridge, tn 37831 usa"
"shanghai institute of microsystem and information technology chinese academy of sciences(chinese academy of sciences ^),shanghai,china","shanghai institute of microsystem and information technology chinese academy of sciences(chinese academy of sciences ^),shanghai,china","shanghai institute of microsystem and information technology chinese academy of sciences(chinese academy of sciences ^),shanghai,china"
"suny downstate medicine center, brooklyn, ny 11203 usa","suny downstate med ctr, brooklyn, ny 11203 usa","suny downstate medicine center, brooklyn, ny 11203 usa"
oregon health science university,oregon health science university,oregon health science university
"chinese academy sciences, beijing national laboratory condensed matter physics, institute physics, beijing 100190, peoples r china","chinese acad sci, beijing natl lab condensed matter phys, inst phys, beijing 100190, peoples r china","chinese academy sciences, beijing national laboratory condensed matter physics, institute physics, beijing 100190, peoples r china"
"nikhef national institute subat physics, amsterdam, netherlands","nikhef natl inst subat phys, amsterdam, netherlands","nikhef national institute subat physics, amsterdam, netherlands"
"university fed vicosa, vicosa, mg, brazil","univ fed vicosa, vicosa, mg, brazil","university fed vicosa, vicosa, mg, brazil"
faculty of chemistry,faculty of chemistry,faculty of chemistry
"ecole polytech fed lausanne, lausanne, switzerland","ecole polytech fed lausanne, lausanne, switzerland","ecole polytech fed lausanne, lausanne, switzerland"
"university autonoma madrid, madrid, spain","univ autonoma madrid, madrid, spain","university autonoma madrid, madrid, spain"
"university calif los angeles, department elect engineering, los angeles, ca 90095 usa","univ calif los angeles, dept elect engn, los angeles, ca 90095 usa","university calif los angeles, department elect engineering, los angeles, ca 90095 usa"
"henan polytechnic university(henan polytechnic university ^),jiaozuo,china","henan polytechnic university(henan polytechnic university ^),jiaozuo,china","henan polytechnic university(henan polytechnic university ^),jiaozuo,china"
"qingdao university of science and technology(qingdao university of science and technology),qingdao,china","qingdao university of science and technology(qingdao university of science and technology),qingdao,china","qingdao university of science and technology(qingdao university of science and technology),qingdao,china"
